state,answer_set,facility_name,gender,count,n_respondents,pct_of_respondents
NY,all-surveys,"Rensselaer County Correctional Facility, NY",Man,10,13,0.7692307692307693
NY,all-surveys,"Suffolk County, NY ",Woman,10,72,0.1388888888888889
OH,all-surveys,"Fairfield County, OH",Man,10,16,0.625
OH,all-surveys,"Muskingum County, OH",Woman,10,28,0.35714285714285715
PA,all-surveys,"Centre County Correctional Facility, PA",Man,10,10,1
PA,all-surveys,"Dauphin County Jail, PA",Woman,10,119,0.08403361344537816
PA,all-surveys,"York County, PA",Man,10,17,0.5882352941176471
TX,all-surveys,"Collin County, TX ",Woman,10,68,0.14705882352941177
VA,all-surveys,"Loudoun County Adult Detention Center, VA",Man,10,11,0.9090909090909091
VA,all-surveys,"Middle Peninsula Regional Jail, VA",Man,10,16,0.625
WI,all-surveys,"Ozaukee County, WI",Man,10,13,0.7692307692307693
CA,all-surveys,"Santa Clara County, CA",Transgender,9,359,0.025069637883008356
FL,all-surveys,"Escambia County Jail, FL",Woman,9,55,0.16363636363636364
FL,all-surveys,"Hardee County Jail, FL",Man,9,10,0.9
GA,all-surveys,"Cobb County, GA",Woman,9,58,0.15517241379310345
IA,all-surveys,"Polk County, IA ",Woman,9,44,0.20454545454545456
IN,all-surveys,"Elkhart County Jail, IN",Woman,9,57,0.15789473684210525
KS,all-surveys,"Sedgwick County Detention Facility, KS",Man,9,9,1
KS,all-surveys,"Shawnee County Detention Center, KS",Woman,9,38,0.23684210526315788
MA,all-surveys,"Franklin County Jail, MA",Man,9,14,0.6428571428571429
MI,all-surveys,"Bay County Law Enforcement Center, MI",Man,9,10,0.9
MI,all-surveys,"Monroe County Correctional System, MI",Man,9,13,0.6923076923076923
MO,all-surveys,"Cape Girardeau County Jail, MO",Woman,9,69,0.13043478260869565
MO,all-surveys,"Marion County, MO ",Man,9,12,0.75
NM,all-surveys,"Chaves County Adult Detention Center, NM",Woman,9,34,0.2647058823529412
OR,all-surveys,"Lincoln County, OR",Woman,9,40,0.225
PA,all-surveys,"Lebanon County, PA",Woman,9,65,0.13846153846153847
PA,all-surveys,"Venango County Prison, PA",Man,9,16,0.5625
SC,all-surveys,"Chester County, SC",Man,9,12,0.75
SC,all-surveys,"Richland County Glenn Detention Center, SC",Woman,9,57,0.15789473684210525
TN,all-surveys,"Hamilton County, TN",Woman,9,47,0.19148936170212766
TX,all-surveys,"San Patricio County Jail, TX",Man,9,9,1
UT,all-surveys,"Sanpete County Jail, UT",Man,9,9,1
VA,all-surveys,"Piedmont Regional Security Center, VA",Man,9,11,0.8181818181818182
AZ,all-surveys,CoreCivic Central Arizona Florence,Man,8,11,0.7272727272727273
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Prefer not to answer,8,881,0.009080590238365494
CA,all-surveys,"Sonoma County, CA",Woman,8,41,0.1951219512195122
CO,all-surveys,"Jefferson County Detention Facility, CO",Woman,8,77,0.1038961038961039
GA,all-surveys,"Forsyth County Detention Center, GA",Woman,8,21,0.38095238095238093
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Woman,8,112,0.07142857142857142
IL,all-surveys,Edovo Go - General,Man,8,15,0.5333333333333333
IL,all-surveys,"Kane County, IL",Woman,8,66,0.12121212121212122
IL,all-surveys,"McLean County, IL",Man,8,10,0.8
IN,all-surveys,"Shelby County, IN",Man,8,9,0.8888888888888888
MA,all-surveys,"Bristol County House of Correction, MA",Woman,8,57,0.14035087719298245
ME,all-surveys,"Kennebec County Jail, ME",Man,8,9,0.8888888888888888
NM,all-surveys,"Eddy County Detention Center, NM",Woman,8,29,0.27586206896551724
NY,all-surveys,"Monroe County Sheriff's Department, NY",Woman,8,87,0.09195402298850575
NY,all-surveys,"Ontario County Jail, NY",Man,8,9,0.8888888888888888
OH,all-surveys,"Franklin County, OH",Man,8,8,1
OH,all-surveys,"Summit County, OH",Woman,8,49,0.16326530612244897
PA,all-surveys,"Lancaster County Prison, PA",Woman,8,58,0.13793103448275862
PA,all-surveys,"Northumberland County, PA",Man,8,12,0.6666666666666666
RI,all-surveys,"Donald Wyatt Federal Detention Facility, RI",Man,8,8,1
TN,all-surveys,"Rhea County Jail, TN",Man,8,13,0.6153846153846154
TX,all-surveys,"Jackson County, TX",Man,8,10,0.8
TX,all-surveys,"Johnson County, TX",Woman,8,50,0.16
TX,all-surveys,"Uvalde County, TX",Man,8,12,0.6666666666666666
UT,all-surveys,"Salt Lake City County, UT",Woman,8,66,0.12121212121212122
