state,answer_set,facility_name,vote_impact_government_level,count,n_respondents,pct_of_respondents
CO,all-surveys,"Jefferson County Detention Facility, CO",County,6,43,0.13953488372093023
CO,all-surveys,"Pueblo County, CO",County,6,59,0.1016949152542373
FL,all-surveys,"Escambia County Jail, FL",City / Town,6,33,0.18181818181818182
FL,all-surveys,"Escambia County Jail, FL",County,6,33,0.18181818181818182
FL,all-surveys,"Monroe County-Key West, FL",State,6,15,0.4
GA,all-surveys,"Bibb County Jail, GA",County,6,42,0.14285714285714285
GA,all-surveys,"Cobb County, GA",County,6,30,0.2
GA,all-surveys,"Forsyth County Detention Center, GA",State,6,15,0.4
GA,all-surveys,"Thomas County Detention, GA",State,6,16,0.375
KS,all-surveys,"Douglas County, KS",State,6,20,0.3
MA,all-surveys,"Barnstable County Correctional Facility, MA",State,6,23,0.2608695652173913
MA,all-surveys,"Bristol County House of Correction, MA",Federal,6,45,0.13333333333333333
MA,all-surveys,"Hampshire County, MA",City / Town,6,16,0.375
MA,all-surveys,"Suffolk County Jail, MA",County,6,61,0.09836065573770492
ME,all-surveys,"Two Bridges Regional, ME",Federal,6,17,0.35294117647058826
MI,all-surveys,"Genesee County, MI",City / Town,6,22,0.2727272727272727
